TargetID	AVG_Signal-H9 hES cells repl1	BEAD_STDEV-H9 hES cells repl1	Detection-H9 hES cells repl1
GI_12232454-S	126.3	6.4	0.22451613
GI_12232456-S	394.7	11.6	1
GI_12232462-S	135.3	5.5	0.46064516
GI_12232472-S	213.9	9.9	0.99870968
GI_12232474-S	134.8	6.1	0.44258065
GI_12232478-S	2365.2	57.2	1
GI_12383050-S	237.2	10.9	0.99870968
GI_12383052-S	540.4	14.4	1
GI_12383057-S	141.6	5.4	0.64258065
GI_12383061-S	2358.3	67	1
GI_12383063-S	216.2	9.1	0.99870968
GI_12383065-S	554.1	18.3	1
GI_12383073-S	1257.5	42.7	1
GI_12383075-S	893.3	29.8	1
GI_12383083-S	132.5	7.7	0.38709677
GI_12383091-S	240.2	8.2	1
GI_12408637-A	94.2	3.6	0.00129032
GI_12408641-S	2063.8	39.5	1
GI_12408642-S	728.2	24.2	1
GI_12408643-A	358.2	13	1
GI_12408644-S	311.9	14.7	1
GI_12408645-S	2865.4	73.3	1
GI_12408650-S	4048.6	84.7	1
GI_12408653-S	560	13.3	1
GI_12408655-S	1177.4	30.4	1
GI_12408657-A	301.7	7.5	1
GI_12408659-I	324.5	15.6	1
GI_12408664-A	158.8	6	0.91870968
GI_12408674-S	5641.7	152.3	1
GI_12408676-S	274.1	10.9	1
GI_12545377-A	162.8	6.9	0.9483871
GI_12545379-S	125.3	5.2	0.20387097
GI_12545383-S	120.6	4.6	0.11225806
GI_12545386-S	123.3	5	0.16258065
GI_12545388-S	601.5	9.7	1
GI_12545394-I	134	5.7	0.42322581
GI_12545396-I	284.7	9.8	1
GI_12545398-S	111.6	7.3	0.03096774
GI_12545399-S	267.3	12.9	1
GI_12545400-A	166.5	6	0.96129032
GI_12545401-I	142.4	9.7	0.66451613
GI_12545403-S	506.6	15.7	1
GI_12545405-A	1134.3	31	1
GI_12545405-I	158.5	9.5	0.91483871
GI_12545407-S	153.1	4.9	0.85290323
GI_12548775-S	163	9.4	0.94967742
GI_12548784-I	166.1	14.4	0.96129032
GI_12597621-S	560.2	13.7	1
GI_12597624-S	490.5	14.3	1
GI_12597630-S	536.1	11.1	1
GI_12597640-S	123.6	5	0.16774194
GI_12597648-S	154.2	4.9	0.86193548
GI_12597650-S	144.8	6.5	0.72258065
GI_12597652-S	1362	37.2	1
GI_12597656-S	285	8.1	1
GI_12597658-S	2748.6	45.8	1
GI_12621915-S	135.7	7.1	0.47096774
GI_12621916-S	134.1	8	0.42709677
GI_12621917-S	128.2	5.5	0.26451613
GI_12621918-S	167.4	6	0.96645161
GI_12669906-S	683.8	13.7	1
GI_12669908-I	132.4	6.8	0.37806452
GI_12669910-S	221	7.6	0.99870968
GI_12669913-S	2464.9	66.5	1
GI_12669916-S	859.9	23.8	1
GI_12707557-I	136.2	6.8	0.48387097
GI_12707559-A	150.4	4.5	0.82580645
GI_12707560-A	142.9	4.7	0.67354839
GI_12707561-I	295.7	10.2	1
GI_12707563-S	155.4	8.7	0.88516129
GI_12707564-I	161.4	9.3	0.94322581
GI_12707565-S	172.4	6	0.98580645
GI_12707569-S	4686.3	113.2	1
GI_12707571-A	160.5	6.9	0.93677419
GI_12707573-S	139.9	6.6	0.60129032
GI_12707574-S	157.3	9.2	0.90064516
GI_12707576-A	127.9	6.3	0.25935484
GI_12707578-I	138.7	6.3	0.55612903
GI_12707579-S	139.2	6.1	0.57032258
GI_12711659-S	268.1	9.5	1
GI_12711661-S	138.3	5.6	0.54967742
GI_12711669-S	235.3	9.3	0.99870968
GI_12711681-S	191.8	6.9	0.99870968
GI_12718865-S	144.3	7.1	0.71741935
GI_12719454-A	144	5.4	0.70451613
GI_12738830-S	136.2	5.2	0.48258065
GI_12738833-S	120.4	5.5	0.11096774
GI_12746589-I	138.4	6.5	0.55096774
GI_12751474-S	995.1	31.7	1
GI_12751478-S	143.6	4.7	0.69419355
GI_12751480-S	391.8	14	1
GI_12751490-S	544	16.5	1
GI_12751492-S	1672.3	35.6	1
GI_12751496-S	1312.2	37	1
GI_12957487-S	150.8	6	0.82709677
